"sex","language","siblings","account_num","story_views","day_time_min","num_follower","num_post","effectiveness","attractiveness","private_d"
"M","Italian",1,1,220,100,450,17,"Agree",5,0
"M","Italian",1,3,250,37,650,12,"Strongly agree",5,0
"F","English",2,1,281,60,694,5,"Strongly agree",7,0
"M","Italian",0,1,100,50,202,0,"Disagree",3,0
"F","Italian",1,3,315,90,1100,35,"Agree",7,0
"M","Italian",0,2,130,60,450,9,"Disagree",4,0
"M","English",1,1,213,45,530,2,"Agree",2,0
"F","English",1,1,166,35,412,7,"Agree",5,0
"F","Italian",1,1,505,40,820,5,"Disagree",1,0
"M","Italian",1,1,150,20,185,2,"Agree",3,0
"M","English",1,1,123,200,400,5,"Agree",5,1
"F","French",5,1,445,60,596,25,"Agree",8,1
"F","English",1,4,681,30,1797,21,"Agree",8,1
"M","English",2,2,10,120,1001,3,"Agree",6,1
"M","Italian",1,3,350,60,607,9,"Strongly agree",8,1
"F","Italian",0,2,160,60,500,2,"Strongly agree",7,1
"M","Italian",2,3,500,90,980,0,"Agree",4,1
"F","English",1,2,400,60,800,0,"Agree",6,1
"F","Italian",2,1,540,45,1200,4,"Agree",6,1
"F","English",4,1,300,80,671,10,"Agree",6,1
"M","Italian",1,2,350,60,870,10,"Agree",6,1
"M","English",2,2,600,45,1000,0,"Agree",3,1
"M","Other",1,1,220,120,1300,0,"Agree",5,1
"M","Italian",0,2,500,120,1200,2,"Strongly agree",7,1
"F","Italian",1,2,270,60,308,3,"Agree",7,1
"M","English",1,1,457,180,1245,4,"Strongly agree",7,1
"M","Italian",1,1,400,70,540,1,"Agree",5,1
"M","Italian",1,1,300,30,550,1,"Agree",7,1
"F","English",1,3,300,200,900,12,"Strongly agree",10,1
"F","English",5,3,600,120,1651,25,"Strongly agree",7,1
"M","Italian",1,1,500,45,800,6,"Disagree",4,1
"F","Italian",2,1,400,30,815,27,"Agree",8,1
"M","Italian",1,2,100,60,315,8,"Agree",6,1
"F","Italian",2,2,660,90,1617,16,"Agree",6,1
"F","Other",1,2,500,160,1320,27,"Agree",10,1
"M","Portuguese",1,2,500,7,1100,15,"Strongly agree",6,1
"M","French",0,1,15,100,727,1,"Strongly agree",1,1
"F","Italian",2,4,215,180,1003,25,"Strongly agree",9,1
"F","English",2,3,500,120,1400,20,"Strongly agree",4,1
"F","English",1,3,800,120,1663,36,"Agree",5,1
"F","English",5,3,800,130,820,30,"Agree",8,1
"F","English",1,2,300,120,765,13,"Agree",7,1
"M","Italian",1,1,550,30,916,6,"Agree",8,1
"M","Italian",2,1,1,60,732,0,"Agree",1,1
"F","English",2,2,450,60,1215,21,"Agree",5,1
"M","English",1,1,500,120,1050,3,"Strongly agree",7,1
"F","Italian",0,2,429,30,907,23,"Agree",8,1
"F","Italian",1,1,400,30,1261,34,"Agree",8,1
"F","English",0,2,245,50,559,12,"Agree",7,1
"F","English",2,3,500,120,1400,20,"Strongly agree",4,1
"F","English",2,4,300,20,1200,22,"Strongly agree",10,1
"F","English",1,2,12,60,350,0,"Disagree",1,1
"M","English",1,2,500,120,699,4,"Agree",6,1
"M","Italian",1,2,150,60,400,6,"Disagree",4,1
"M","English",0,1,550,150,920,4,"Agree",8,1
"F","English",1,4,350,7,890,6,"Agree",9,1
"M","Spanish",1,3,500,35,644,6,"Agree",8,1
"F","Italian",2,2,360,120,1191,13,"Agree",7,1
"M","English",2,2,500,50,1200,1,"Agree",5,1
"F","English",5,3,400,30,952,14,"Disagree",10,1
"F","Italian",1,1,350,30,510,2,"Agree",7,1
"F","Italian",2,1,300,50,1005,28,"Agree",10,1
"F","Italian",2,3,850,120,1361,12,"Agree",6,1
"M","English",0,1,215,100,1225,5,"Agree",7,1
"F","Italian",1,2,500,50,1333,4,"Agree",10,1
"M","Italian",2,1,250,100,400,0,"Agree",1,1
"F","Other",1,2,11,120,576,17,"Strongly agree",2,1
"M","French",0,2,95,48,539,0,"Strongly agree",5,1
"F","English",1,1,423,40,1032,33,"Agree",7,1
"F","English",1,5,70,90,297,20,"Agree",8,1
"F","Italian",0,2,389,130,889,15,"Agree",5,1
"M","French",2,2,650,30,1578,0,"Agree",3,1
"M","Italian",1,4,400,70,1474,5,"Agree",7,1
"F","English",1,1,50,15,300,3,"Agree",7,1
"M","English",0,3,600,60,605,3,"Agree",10,1
"F","Other",2,1,200,25,900,10,"Strongly agree",10,1
"F","Italian",0,3,170,120,926,13,"Agree",5,1
"M","English",2,2,400,45,566,0,"Strongly agree",5,1
"F","English",1,5,758,78,1380,12,"Agree",10,1
"F","English",1,1,400,200,1293,1,"Agree",8,1
"F","French",2,1,180,90,200,1,"Agree",5,1
"F","English",5,3,436,50,629,29,"Strongly agree",8,1
"F","English",1,2,600,100,1883,8,"Strongly agree",7,1
"M","Italian",5,2,250,10,511,4,"Strongly agree",10,1
"M","Italian",1,1,500,30,1369,2,"Agree",8,1
"F","Other",0,5,398,50,740,1,"Agree",10,1
"F","English",1,1,165,30,457,4,"Agree",5,1
"M","French",2,2,600,30,1578,0,"Agree",3,1
"M","Italian",1,2,290,120,980,9,"Strongly agree",7,0
"M","Italian",3,1,300,50,500,0,"Agree",4,0
"F","English",1,2,700,200,1060,14,"Agree",9,0
"F","Italian",1,3,506,120,1203,11,"Agree",6,0
"M","Italian",0,2,450,180,1002,11,"Agree",8,0
"M","Italian",1,2,300,100,813,4,"Strongly agree",7,0
"M","Italian",3,1,480,60,1084,5,"Agree",8,0
"M","Italian",1,3,275,60,620,2,"Agree",8,0
"F","English",1,2,700,60,1648,15,"Strongly agree",8,0
"F","Italian",4,3,600,60,1100,2,"Strongly agree",10,0
"M","Italian",0,2,250,80,400,0,"Agree",1,0
"F","Italian",1,3,400,180,1030,24,"Strongly agree",8,0
"F","Italian",0,2,98,30,213,12,"Agree",8,0
"F","Italian",3,1,200,60,635,8,"Agree",7,0
"F","Italian",1,2,400,70,804,2,"Agree",8,0
"F","Italian",0,3,305,50,1267,7,"Agree",8,0
"M","Italian",1,2,350,120,595,4,"Agree",8,0
"M","Italian",1,2,230,60,550,2,"Disagree",1,0
"M","Italian",1,3,260,100,1092,15,"Agree",8,0
"F","Italian",1,2,479,60,2134,25,"Agree",8,0
"M","Italian",1,2,400,80,1677,25,"Strongly agree",7,0
"F","Italian",1,2,247,60,527,0,"Agree",1,0
"M","Italian",1,2,449,90,1277,6,"Strongly agree",7,0
"F","Italian",1,4,237,180,867,18,"Agree",5,0
"M","Italian",0,2,186,47,388,1,"Agree",3,0
"F","Italian",2,3,200,120,530,30,"Agree",7,0
"F","Italian",1,2,530,120,981,4,"Strongly agree",10,0
"M","Italian",1,1,220,30,555,1,"Strongly agree",5,0
"M","Italian",1,1,200,60,219,3,"Agree",3,0
"F","Italian",1,2,98,60,642,9,"Strongly agree",7,0
"M","Italian",1,1,300,60,519,8,"Disagree",6,0
"F","Italian",1,1,195,120,406,27,"Agree",3,0
"M","Italian",0,1,400,60,540,0,"Agree",3,0
"F","Italian",0,2,228,35,1121,24,"Strongly agree",7,0
"M","Italian",0,1,270,100,625,0,"Agree",4,0
"M","Italian",1,1,200,90,380,0,"Agree",10,0
"F","Italian",1,4,412,33,811,13,"Strongly agree",8,0
"M","Italian",2,2,400,35,850,0,"Agree",3,0
"F","Italian",0,4,500,150,1170,6,"Strongly agree",7,0
"F","Italian",0,2,98,30,213,12,"Agree",8,0
"F","Italian",3,1,200,60,635,8,"Agree",7,0
"F","Italian",1,2,98,60,642,9,"Strongly agree",7,0
"M","Italian",2,3,600,45,1100,3,"Agree",7,0
"M","Italian",3,2,20,30,100,5,"Agree",4,0
"F","Italian",0,1,200,40,530,0,"Strongly agree",3,0
"M","Italian",2,2,90,40,213,3,"Strongly agree",6,0
"M","Italian",1,5,764,60,1147,1,"Strongly agree",4,0
"M","Italian",1,1,300,120,500,14,"Strongly agree",7,0
"F","Italian",1,1,20,60,40,0,"Strongly agree",2,0
"M","Italian",1,2,400,50,1600,9,"Agree",5,0
"M","Italian",1,1,120,30,270,5,"Strongly agree",6,0
"M","Italian",1,1,204,70,480,8,"Agree",7,0
"M","Italian",1,3,230,120,770,10,"Strongly agree",7,0
"M","Italian",1,2,222,60,341,3,"Agree",8,0
"M","Italian",1,2,600,90,900,0,"Agree",10,0
"F","Italian",2,1,6,90,2000,2,"Strongly agree",7,0
"M","Italian",4,2,200,45,480,2,"Agree",6,0
"M","Italian",1,1,525,130,671,22,"Agree",6,0
"F","Italian",1,1,430,64,1135,34,"Agree",7,0
"F","Italian",2,2,80,30,600,30,"Strongly agree",8,0
"M","Italian",0,1,230,120,483,3,"Strongly agree",6,0
"F","Italian",0,2,184,80,1200,6,"Strongly agree",6,0
"M","Italian",2,2,452,100,749,2,"Strongly agree",2,0
"M","Italian",3,1,250,120,600,2,"Strongly agree",7,0
"M","Italian",2,1,88,120,278,1,"Strongly agree",3,0
"M","Italian",1,3,350,150,726,6,"Agree",5,0
"M","Italian",3,2,340,120,1118,12,"Agree",5,0
"F","Italian",2,2,300,60,300,0,"Strongly agree",10,0
"M","Italian",1,2,350,30,780,1,"Agree",6,0
"M","Italian",1,2,250,120,900,1,"Strongly agree",7,0
"F","English",1,1,202,120,620,1,"Agree",4,0
"F","Italian",1,1,20,1,200,10,"Agree",6,0
"M","Italian",1,1,496,60,816,17,"Agree",6,0
"M","Italian",2,2,100,90,300,2,"Agree",6,0
"M","Italian",2,1,100,60,500,8,"Agree",3,0
